playlist_id,top_10,targets
0,"['TRDTAUZ128F42376B8', 'TRZIQAZ128F14856FE', 'TRVTHUJ128F92ED222', 'TRWSWBQ128F426C3A6', 'TRZBEAP128F92FF593', 'TRWULIQ128E07953D1', 'TREQCSB128F9355F3A', 'TRNLRZF128F4255276', 'TRFGGEL128F428E8A0', 'TRTMMDE128F9316F9D']","['TRYPSFO12903CA84F0', 'TRRORBU128F93113D1', 'TRSSPPR128F92C3A4E', 'TRDLKVL128F1483283', 'TRKBWUX128F92D54F3', 'TRONBHE128F92D6309', 'TRCNVLA12903CF6052', 'TRGDVRO128F92F5994']"
1,"['TRRDMVA128F422C14E', 'TRMTCDW128F1487E8C', 'TRBDQNL128F423ECD8', 'TRIJWEA128F92E1D14', 'TRIPQKN12903CA6068', 'TRJLGHL128F9307E2C', 'TRSVRSV12903CB5FC8', 'TRMTTYD128F9309050', 'TRZPLJT128F9342D1F', 'TRGZCUR128F92FCE04']",['TRWYLTX128F42269E0']
2,"['TRTGSVG128E079281F', 'TRKULJX128E0783A32', 'TRWDTJP12903CC04EF', 'TRQCMKQ128E07861C1', 'TRICFLJ128F9305F3F', 'TRBDYIC128F92F1D17', 'TRHCOPF128F145F6A7', 'TRAZGJX128F4263B7A', 'TRERLAP128F4214A12', 'TRUGAHW128F930161D']","['TRUPCJS128F1468C83', 'TRSOTOZ128F424E279']"
3,"['TRVSOLL128F4255512', 'TRENLBT12903CA2832', 'TRYMJON128F9337622', 'TRVRGXV128F14771A8', 'TRNEOSB128F428B4DD', 'TRMMRAC128F4238209', 'TRKHVUS128F1459DA2', 'TREHESF128F9315B28', 'TRTDHSB128F422B90F', 'TRWIBGS128F933B0F4']","['TRKIZPI128F428D380', 'TRVWVKY128F148D60A', 'TRBHUSP128F4242DD0', 'TRCRWHC128F92C260B', 'TRKCQHG128F92E0C1C', 'TRPAAWS128F92F4130', 'TRFAWKX12903CE30F4', 'TRLHFSD128F4255509', 'TRPYJVG128F4255504', 'TROXWBT128F9305E67', 'TROMDMC12903CE3041', 'TRDGPQO12903CFDBEC', 'TRLOUGL128F42A3B0B']"
4,"['TRKSJDY12903D0CC42', 'TRQIESP128F428CA9D', 'TRMDDVA128F92E965B', 'TRVVFKZ128F4231308', 'TRKCTGS128F427773E', 'TRSWBEY128F932E636', 'TRTPHOW128F42690BF', 'TRAYZWJ128F933672D', 'TRWOFCH128F92FC596', 'TRFJBDW128F428AB32']","['TRFJBDW128F428AB32', 'TRGTGJR128F92D2C42']"
5,"['TRXIWXK128F92F1462', 'TRLSKCU128F428BB84', 'TRWKXXP128F92EB7BF', 'TRVXVGA128F145E6CB', 'TRLLMIO128F92EB394', 'TRZAXHQ128F4289D59', 'TRSIHUA128F428BB5D', 'TRSOEOE128F932B081', 'TRDMOBE12903CC1A49', 'TRDABBA128F92D5081']",['TRAVZUM128F4267084']
6,"['TRGHUTN128F149BA6F', 'TRLYNUT128F931F1D0', 'TRHIXMJ128F148AE3F', 'TROSKGO128F147852A', 'TRXSQQO12903CA924B', 'TRPRCWH128F149BA6E', 'TRYSSGR128F148AE43', 'TRIJQIB128F148AE3D', 'TRNUYSM128F931F17C', 'TRZFQZF12903CD6F42']","['TRGGFNW128F149BA79', 'TRYJOWF128F148AE41']"
7,"['TRXGMJC128F42A8248', 'TRDZRNV12903CE5603', 'TRBPQSK128F9308FBC', 'TRDZTKM128F42629E7', 'TRYJNPZ12903CC369F', 'TRNDUWB12903CA1FD4', 'TRSJBUV12903CB2CBC', 'TRPWIVZ128F424687E', 'TRQLDTJ128F146E3E7', 'TRQNCBW128F42848B3']","['TRRUQAX128F92FDEF0', 'TRWCEKE128F93191BE', 'TRMFOOR12903CBB886']"
8,"['TRXIQYM128F422B911', 'TRNNTOP128E0791E76', 'TRHPDXR128F4298C6D', 'TRLQIDW128F42886A2', 'TRQQOJF128F42BC5A3', 'TRNKEJD128F4298C70', 'TRWCWLX128F42AE390', 'TRAYYAU128F92D58D0', 'TRRPACV128F4255510', 'TRZLTKY128F1459D79']","['TRWDNVX128F9313F4D', 'TRBHUSP128F4242DD0', 'TRFAWKX12903CE30F4', 'TRVWVKY128F148D60A']"
9,"['TRMHIQB128F42574AA', 'TRDQHKF128F42673A7', 'TRFOARV128F92E1CA0', 'TRKYRMA128F148219D', 'TRPKCTR128F92DE83F', 'TRJYYAS128F92EF6FF', 'TRBFIAH128F933D7F4', 'TRCWPRZ128F42630CC', 'TRNSJTJ128F9339CCF', 'TRHSJGY128F422BDAE']","['TRCHNDS12903CBAE93', 'TRMHXBU128F932A16D', 'TROBUUZ128F4263002']"
10,"['TRLSCIQ12903CFDBEE', 'TRYSRQT128F421874C', 'TRIOTVG128E0789C09', 'TRYGRZD128F92DE5FE', 'TREYPOF128F426BFC4', 'TRJOXQS12903CB65DE', 'TRADCNP12903CFDBFA', 'TRLDVXO128E0789C08', 'TRRJOIB128F1462DED', 'TRJHPZP128E0789C02']","['TRLSCIQ12903CFDBEE', 'TRWKRWH12903CFDBEF', 'TRNBRHA12903CFDBF2', 'TRZJRNW12903CFDBF4', 'TRADCNP12903CFDBFA', 'TRDAYRK12903CFDBFB', 'TRNYDDW128F4218742', 'TRJHPZP128E0789C02', 'TRYSRQT128F421874C', 'TRJHPZP128E0789C02', 'TRLDVXO128E0789C08', 'TRIOTVG128E0789C09', 'TRDGLLR128E0789C0A', 'TRSRTOS128E0789C0C']"
11,"['TRTMMDE128F9316F9D', 'TRXLPOB128F1485ED4', 'TRWIOKX128F1456AD9', 'TRFFPNK128F42BCE58', 'TRSFZMU128E0780BD8', 'TRQCTSK128F425995E', 'TRMYGVM128F93048F7', 'TRDZNOR128F92D667B', 'TRNZOUD128F42BAA2E', 'TRTFQFD128F931181B']","['TRCNVLA12903CF6052', 'TRALJBT128F4266FD8', 'TRNCOSA128F4233DD7', 'TRLTGLN12903CBEED8']"
12,"['TRLIPSF12903CAF5EE', 'TRQNMWN128F4219FEF', 'TRCGEXV128F930E41F', 'TRQNVKS128F147878C', 'TRCHBZS128F92C44C6', 'TRLXROT128F1485373', 'TRJBYGT128F930E423', 'TRPHPVE128F9342C90', 'TRFIIDH12903CAF5F8', 'TRPEOMX128F421A00F']","['TRDILGU128F4241B00', 'TRFUVKB12903CB0FE3', 'TRDBKUE128F4299D5A', 'TRWGUUP128F92E1FDE']"
13,"['TRXLQNQ12903CD520A', 'TRSRMRF12903CD5210', 'TREKLIP128F92C40C1', 'TRYDRMU12903CD5214', 'TRTQQXM12903D06EB9', 'TRELAPW12903D0C3AA', 'TRMNKFF12903D06EB6', 'TRDMJAR128E0784B16', 'TRPTZSN128F9316F01', 'TRTJBBS12903CACED9']","['TRAMQXC128F14A2378', 'TRUYTNQ128F429A95C', 'TRAGACS128E078E74D']"
14,"['TRCQSDA12903CBB3EB', 'TRBJBMC12903CBB3ED', 'TRSOADT128F93072DA', 'TRYILEN128F42882A2', 'TRISBOR12903CC04BF', 'TRXXGJC12903CC0B6F', 'TRYSAUD128F42BA8F0', 'TRXLYHD128F1499FC0', 'TREWKTA128F146ECD4', 'TRADNGD128E0780F88']","['TRSOTOZ128F424E279', 'TRQEBRP12903CADD6C']"
15,"['TRBALRR128F429625D', 'TRXGWVX128F9300F4F', 'TRMHIQB128F42574AA', 'TRKYRMA128F148219D', 'TRNMGGQ128F14946F7', 'TRSRORJ128E0791C74', 'TRJHQHK128F426AA6B', 'TRJYYAS128F92EF6FF', 'TRSIYFY128F932FE88', 'TRWOXYR128F4298332']","['TRMFOLO128F424A0FC', 'TRMEBYQ128F932FEFF', 'TRMHXBU128F932A16D', 'TRAFZKY128F424C628', 'TRPYYYU128F92C7CCC', 'TRWDJRQ128F4295E13', 'TRCHNDS12903CBAE93', 'TRXPADO128F42A964A', 'TRZHDSV128F42963CF', 'TRFMSIB128F429638D']"
16,"['TRUFVUQ12903CD75C4', 'TRHQTUE12903CCAD26', 'TRULDMT128F92EB8B4', 'TRIAILA128F9310B4F', 'TRYNCGE128F148843D', 'TRCMZXV128E07943F4', 'TRSECPM128F148CEE9', 'TRALBDM128F427F90A', 'TRPGRMR12903CD3B72', 'TRYLQRQ128F1456F60']",['TRJLMSU128F932BB3A']
17,"['TROZAOD12903CFC967', 'TRCCGKA12903CA72E4', 'TRIWDKR128F429D9EE', 'TRISQBH12903CC5C07', 'TRJWBZD128F14920F0', 'TRUKEJY128F4290E32', 'TRDUGZC128E0780F87', 'TRECCLN12903CC051D', 'TRFMJQH128F92E5B0A', 'TRLYHYF128F9301D44']",['TRDDQBD128F428CDB4']
18,"['TRUQIUM128F933761D', 'TRCJGNA128E078F797', 'TRAMNCT128F932EE38', 'TRQQOJF128F42BC5A3', 'TRKYLAE128F4255522', 'TRFAWKX12903CE30F4', 'TREGFYZ128F148ADEE', 'TRADETN128F148CF19', 'TRISPZG12903CE3167', 'TRAJGXR128F9302DEC']","['TRKIZPI128F428D380', 'TRTPPUN128F42AE37D', 'TROUGBV128F92C2176', 'TRVWVKY128F148D60A', 'TRPAAWS128F92F4130']"
19,"['TRDWZUM128F147CC70', 'TRECZVM128E07929DC', 'TRLBKRF128F92F26EC', 'TRUVZST128F147CC6A', 'TRTUVGE128F427E9F6', 'TRLBOGA128F426B530', 'TROIZWN12903C9AF37', 'TRVGKNA128F9305E07', 'TRNAADD128F93032A7', 'TRFWIGT128F147CC7B']","['TRZCSSL128F426F89C', 'TRYALRP128F92F521E']"
20,"['TRPMXFH128F9318EC3', 'TRQZMYH128F92DFC7C', 'TRBQDAZ128F92FA7F2', 'TRLWBNQ128F92E210B', 'TRTLUNG128F92C9B3B', 'TRNNNLZ128F933BBBD', 'TRFWPIX128F423BEDA', 'TRGCJCP128F14B0B47', 'TRVDPBJ12903CA44C6', 'TRRWDKE128F934BF4A']","['TRPPJVB128F42AD576', 'TRUPWZY12903CA5297', 'TRPWESA12903CA5298']"
