playlist_id,top_10,targets
0,"['TRUZAOX128F9305498', 'TRYPSFO12903CA84F0', 'TRWQAFX128F428DBB0', 'TRCNVLA12903CF6052', 'TRDLWAP128F428F6B9', 'TRMEBYQ128F932FEFF', 'TRBAUVN128F932FEF8', 'TRONBHE128F92D6309', 'TRPYYYU128F92C7CCC', 'TRRORBU128F93113D1']","['TRYPSFO12903CA84F0', 'TRRORBU128F93113D1', 'TRSSPPR128F92C3A4E', 'TRDLKVL128F1483283', 'TRKBWUX128F92D54F3', 'TRONBHE128F92D6309', 'TRCNVLA12903CF6052', 'TRGDVRO128F92F5994']"
1,"['TRRUVLO128F92DE6F7', 'TRYZXPW128F934B627', 'TRVOWOG128E0783E33', 'TRBYZSV128F42B023B', 'TRHVSGL128F428AEEB', 'TRRLCEQ12903CEA634', 'TRATKVY128EF35F97A', 'TRMHRDA128F92E3541', 'TRABFDT12903CADD73', 'TRSJKLY128E079849E']",['TRWYLTX128F42269E0']
2,"['TRMXNSW128F42B7AFA', 'TRODJJY128F428835F', 'TRADODV128F4283EB6', 'TRPWYWW128F422E08E', 'TRRHCHT128F4214DB9', 'TRQFWAC128F4269FB1', 'TRWIIJL128F426A1C8', 'TRYMZQJ128F426A0E7', 'TREFNVK128F930316B', 'TRLJRWF128F9306077']","['TRUPCJS128F1468C83', 'TRSOTOZ128F424E279']"
3,"['TRXCSMP128F428A359', 'TRPAAWS128F92F4130', 'TRQIZVH128F428075C', 'TRCRWHC128F92C260B', 'TRRPHRU128EF3570D0', 'TRGUXRX128F92F5F46', 'TRFAWKX12903CE30F4', 'TRACBYL12903CFDBC6', 'TRLHFSD128F4255509', 'TRGFRSZ128F42824C7']","['TRKIZPI128F428D380', 'TRVWVKY128F148D60A', 'TRBHUSP128F4242DD0', 'TRCRWHC128F92C260B', 'TRKCQHG128F92E0C1C', 'TRPAAWS128F92F4130', 'TRFAWKX12903CE30F4', 'TRLHFSD128F4255509', 'TRPYJVG128F4255504', 'TROXWBT128F9305E67', 'TROMDMC12903CE3041', 'TRDGPQO12903CFDBEC', 'TRLOUGL128F42A3B0B']"
4,"['TRHIXJT128F422B8DC', 'TRFJBDW128F428AB32', 'TRJFAOJ128F931D308', 'TREBXDI128F42BC4CF', 'TRKJMUY128F4285D86', 'TRCTNRL128F4287DA1', 'TRVKPTL128E078A9B6', 'TRAKDIG128E07826B3', 'TRLDNYQ12903CA41FF', 'TRDGYPA128F930ECBB']","['TRFJBDW128F428AB32', 'TRGTGJR128F92D2C42']"
5,"['TRAVZUM128F4267084', 'TROWULV128F4228909', 'TRRVFCW128F9313C69', 'TRFRTXJ128F422890A', 'TRPXNCK128F422890B', 'TRABCJP128F4228913', 'TRRDLER128F422BB1A', 'TRJWWRG128F92DC03D', 'TRQETDQ128F42B2FFF', 'TRVLIJA128F14923B1']",['TRAVZUM128F4267084']
6,"['TRXKOXB128F92E0423', 'TRNLVZB128F42A4ADB', 'TRDWIRV128F429CBD7', 'TRSYFWL128F42AC944', 'TRQZMPH128F92E3A7F', 'TRDJIPJ128F9321317', 'TREDMTU128F9305DF1', 'TRTNIBM128F42AC946', 'TRKGOUE12903CF4702', 'TRABUSZ128F4257BAB']","['TRGGFNW128F149BA79', 'TRYJOWF128F148AE41']"
7,"['TRKTOPV128F92D9BAD', 'TROZOZY12903CB6376', 'TRRUQAX128F92FDEF0', 'TRRGPFD12903CC83E2', 'TRUHLIZ128F92EF08B', 'TRFKUZO12903CEC91D', 'TROPZWP128F932E027', 'TRZCIFC128F930B1E2', 'TROUKLP12903CB6364', 'TRPYROS128F427F1A9']","['TRRUQAX128F92FDEF0', 'TRWCEKE128F93191BE', 'TRMFOOR12903CBB886']"
8,"['TRKCQHG128F92E0C1C', 'TROUGBV128F92C2176', 'TRKOZVY12903CFDBD0', 'TRZDTUC12903CE30DD', 'TROXWBT128F9305E67', 'TRFAWKX12903CE30F4', 'TRAJMZL12903CA4807', 'TRQQOJF128F42BC5A3', 'TROMDMC12903CE3041', 'TRVWVKY128F148D60A']","['TRWDNVX128F9313F4D', 'TRBHUSP128F4242DD0', 'TRFAWKX12903CE30F4', 'TRVWVKY128F148D60A']"
9,"['TRONBHE128F92D6309', 'TRDLKVL128F1483283', 'TRBAUVN128F932FEF8', 'TRMEBYQ128F932FEFF', 'TRMHXBU128F932A16D', 'TRKBWUX128F92D54F3', 'TRFBNLV128F425EA77', 'TRQMELD128F930BE43', 'TRXPADO128F42A964A', 'TRMFOLO128F424A0FC']","['TRCHNDS12903CBAE93', 'TRMHXBU128F932A16D', 'TROBUUZ128F4263002']"
