kind,name,prompt,decoding,temperature,top_k,top_p,seed,generation_seconds,inference_notes_per_second,note_count,length_beats,length_seconds,notes_per_beat,unique_pitch_count,unique_pitch_class_count,active_instrument_count,instrument_entropy,average_polyphony,max_polyphony,mean_duration_steps,pitch_class_entropy,scale_consistency_percent,groove_consistency_percent,sequence_len,raw_note_events,unique_note_events,duplicate_note_rate,note_instrument_violation_rate,best_scale,instrument_counts,quality_score,paper_metric_distance,paper_metric_distance_components,shape_metric_distance,shape_metric_distance_components,validity_penalty,prompt_richness_penalty
candidate,candidate_001,all_instruments,topk,0.850,5,0.900,700,1.218912,91.064798,111,32.000000,16.000000,3.468750,9,4,3,1.249259,1.936198,7,13.396396,1.475755,100.000000,99.107143,120,112,111,0.008929,0.000000,0:major,"{""bass"": 52, ""brass"": 6, ""guitar"": 0, ""piano"": 53, ""strings"": 0}",6.743735,2.966698,"{""groove_consistency_percent"": 0.9129619629638724, ""pitch_class_entropy"": 1.6194275119359807, ""scale_consistency_percent"": 0.4343085122451023}",0.730945,"{""active_instrument_count"": 0.5855586709022459, ""average_polyphony"": 0.6604002317971217, ""instrument_entropy"": 0.7038847759873702, ""notes_per_beat"": 0.1385718269360636}",0.558036,2.488056
candidate,candidate_002,all_instruments,topk,0.900,8,0.900,701,4.819250,117.445649,566,31.958333,15.979167,17.710561,12,5,4,1.473368,4.152542,19,5.627208,1.462180,100.000000,95.386905,583,575,566,0.015652,0.000000,1:minor,"{""bass"": 86, ""brass"": 263, ""guitar"": 0, ""piano"": 216, ""strings"": 1}",5.964829,2.206364,"{""groove_consistency_percent"": 0.12794086825801995, ""pitch_class_entropy"": 1.6441150684450334, ""scale_consistency_percent"": 0.4343085122451023}",2.541534,"{""active_instrument_count"": 1.5187821823924184, ""average_polyphony"": 0.27878741180094796, ""instrument_entropy"": 1.0886723478943685, ""notes_per_beat"": 4.375283297942145}",0.046957,1.169974
candidate,candidate_003,all_instruments,topk,0.950,12,0.900,702,0.813256,179.525208,146,32.000000,16.000000,4.562500,12,6,4,1.883139,3.977865,15,20.924658,1.289646,100.000000,96.875000,154,146,146,0.000000,0.000000,1:minor,"{""bass"": 15, ""brass"": 49, ""guitar"": 34, ""piano"": 48, ""strings"": 0}",5.287496,2.834142,"{""groove_consistency_percent"": 0.44194930614036093, ""pitch_class_entropy"": 1.9578837487835985, ""scale_consistency_percent"": 0.4343085122451023}",1.303354,"{""active_instrument_count"": 1.5187821823924184, ""average_polyphony"": 0.20476677791684608, ""instrument_entropy"": 1.792234129642054, ""notes_per_beat"": 0.20808557306380915}",0.000000,1.150000
candidate,candidate_004,all_instruments,topp,0.900,8,0.880,703,4.842864,111.297770,539,32.000000,16.000000,16.843750,8,3,3,1.393171,8.421875,15,12.000000,1.559333,100.000000,100.000000,552,544,539,0.009191,0.000000,0:minor,"{""bass"": 134, ""brass"": 312, ""guitar"": 93, ""piano"": 0, ""strings"": 0}",8.114563,3.003108,"{""groove_consistency_percent"": 1.101367025693276, ""pitch_class_entropy"": 1.4674322373284192, ""scale_consistency_percent"": 0.4343085122451023}",2.703760,"{""active_instrument_count"": 0.5855586709022459, ""average_polyphony"": 2.0879396121985887, ""instrument_entropy"": 0.9509762316038012, ""notes_per_beat"": 4.100552950205237}",0.027574,2.380122
candidate,candidate_005,all_instruments,topp,0.950,8,0.920,704,3.235086,130.135653,421,32.000000,16.000000,13.156250,42,12,4,1.675988,12.750000,17,23.258907,3.018800,73.634204,99.851190,433,425,421,0.009412,0.000000,8:minor,"{""bass"": 28, ""brass"": 53, ""guitar"": 0, ""piano"": 199, ""strings"": 141}",11.821523,7.210077,"{""groove_consistency_percent"": 1.069966181905043, ""pitch_class_entropy"": 1.1867509198012927, ""scale_consistency_percent"": 4.953359527800518}",3.433211,"{""active_instrument_count"": 1.5187821823924184, ""average_polyphony"": 3.92200539044427, ""instrument_entropy"": 1.4365634653491497, ""notes_per_beat"": 2.931822287348523}",0.028235,1.150000
candidate,candidate_006,all_instruments,random,0.850,8,0.900,705,0.929553,181.807847,169,31.958333,15.979167,5.288136,29,11,4,1.318372,4.826597,16,21.905325,2.623983,95.857988,94.494048,177,169,169,0.000000,0.000000,7:minor,"{""bass"": 21, ""brass"": 111, ""guitar"": 2, ""piano"": 35, ""strings"": 0}",3.397845,0.941285,"{""groove_consistency_percent"": 0.060464194471383445, ""pitch_class_entropy"": 0.4687381010555138, ""scale_consistency_percent"": 0.41208296459345334}",1.170339,"{""active_instrument_count"": 1.5187821823924184, ""average_polyphony"": 0.5644216681543769, ""instrument_entropy"": 0.822549728622987, ""notes_per_beat"": 0.4380713541775262}",0.000000,1.286221
candidate,candidate_007,all_instruments,random,1.000,8,0.900,706,0.049136,122.109058,6,1.000000,0.500000,6.000000,5,3,3,1.459148,6.000000,6,24.000000,1.459148,100.000000,,14,6,6,0.000000,0.000000,1:major,"{""bass"": 1, ""brass"": 2, ""guitar"": 3, ""piano"": 0, ""strings"": 0}",11.408384,2.083937,"{""pitch_class_entropy"": 1.6496283131137288, ""scale_consistency_percent"": 0.4343085122451023}",1.181308,"{""active_instrument_count"": 0.5855586709022459, ""average_polyphony"": 1.0616573175123767, ""instrument_entropy"": 1.0642566349537186, ""notes_per_beat"": 0.6636924416350705}",5.812500,2.330639
candidate,candidate_008,all_instruments,topk,0.850,5,0.900,707,3.560861,159.792831,569,32.000000,16.000000,17.781250,10,3,5,0.628188,8.110677,18,10.947276,1.270865,100.000000,100.000000,580,572,569,0.005245,0.000000,1:minor,"{""bass"": 66, ""brass"": 4, ""guitar"": 2, ""piano"": 496, ""strings"": 1}",7.406190,3.527715,"{""groove_consistency_percent"": 1.101367025693276, ""pitch_class_entropy"": 1.992039429616937, ""scale_consistency_percent"": 0.4343085122451023}",3.208882,"{""active_instrument_count"": 2.4520056938825907, ""average_polyphony"": 1.9560678549781563, ""instrument_entropy"": 0.3624722886970075, ""notes_per_beat"": 4.397687864490842}",0.015734,0.653859
candidate,candidate_009,all_instruments,topk,0.900,8,0.900,708,3.247238,105.012331,341,31.708333,15.854167,10.754271,27,9,5,1.500724,1.936925,35,4.322581,2.535070,98.826979,90.476190,380,372,341,0.083333,0.000000,2:major,"{""bass"": 25, ""brass"": 236, ""guitar"": 29, ""piano"": 31, ""strings"": 20}",3.906331,1.409937,"{""groove_consistency_percent"": 0.9082869767537017, ""pitch_class_entropy"": 0.3070399423524362, ""scale_consistency_percent"": 0.19460987867037996}",2.246394,"{""active_instrument_count"": 2.4520056938825907, ""average_polyphony"": 0.6600920846398431, ""instrument_entropy"": 1.1356411580683212, ""notes_per_beat"": 2.1705295785746337}",0.250000,
candidate,candidate_010,all_instruments,topk,0.950,12,0.900,709,1.340333,164.138299,220,32.250000,16.125000,6.821705,19,6,5,1.786368,2.124031,18,7.472727,2.350642,100.000000,94.270833,228,220,220,0.000000,0.000000,1:major,"{""bass"": 25, ""brass"": 93, ""guitar"": 11, ""piano"": 84, ""strings"": 7}",2.524291,0.570234,"{""groove_consistency_percent"": 0.10756546015373279, ""pitch_class_entropy"": 0.028359530456443675, ""scale_consistency_percent"": 0.4343085122451023}",1.954057,"{""active_instrument_count"": 2.4520056938825907, ""average_polyphony"": 0.5808049695573295, ""instrument_entropy"": 1.6260825019271739, ""notes_per_beat"": 0.9241269711587843}",0.000000,
candidate,candidate_011,all_instruments,topp,0.900,8,0.880,710,2.140749,123.788449,265,31.958333,15.979167,8.292047,27,9,2,0.531526,6.147327,10,17.792453,2.684264,98.490566,100.000000,273,265,265,0.000000,0.000000,0:major,"{""bass"": 32, ""brass"": 0, ""guitar"": 0, ""piano"": 233, ""strings"": 0}",7.168568,1.805597,"{""groove_consistency_percent"": 1.101367025693276, ""pitch_class_entropy"": 0.5783638747510846, ""scale_consistency_percent"": 0.12586611960743976}",1.186616,"{""active_instrument_count"": 0.3476648405879266, ""average_polyphony"": 1.1240880157095476, ""instrument_entropy"": 0.5284359282124627, ""notes_per_beat"": 1.3901427561961746}",0.000000,4.176355
