kind,name,note_count,length_beats,length_seconds,notes_per_beat,unique_pitch_count,unique_pitch_class_count,active_instrument_count,instrument_entropy,average_polyphony,max_polyphony,mean_duration_steps,pitch_class_entropy,scale_consistency_percent,groove_consistency_percent,sequence_len,raw_note_events,unique_note_events,duplicate_note_rate,note_instrument_violation_rate,best_scale,instrument_counts
reference,test_00000,196,32.000000,16.000000,6.125000,25,9,3,0.676197,3.695312,9,14.479592,2.879229,91.836735,85.863095,,,,,,5:minor,"{""bass"": 24, ""brass"": 0, ""guitar"": 168, ""piano"": 0, ""strings"": 4}"
reference,test_00001,138,32.000000,16.000000,4.312500,23,9,3,1.338788,5.372396,11,29.898551,2.611727,98.550725,98.809524,,,,,,0:major,"{""bass"": 14, ""brass"": 0, ""guitar"": 76, ""piano"": 48, ""strings"": 0}"
reference,test_00002,14,38.000000,19.000000,0.368421,1,1,1,-0.000000,2.105263,5,137.142857,-0.000000,100.000000,99.537037,,,,,,0:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 14, ""piano"": 0, ""strings"": 0}"
reference,test_00003,170,32.000000,16.000000,5.312500,11,8,1,-0.000000,3.533854,9,15.964706,2.613167,97.058824,94.940476,,,,,,0:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 170, ""strings"": 0}"
reference,test_00004,209,35.583333,17.791667,5.873536,23,10,3,1.181784,3.531616,10,14.430622,2.614975,93.301435,96.614583,,,,,,4:minor,"{""bass"": 35, ""brass"": 0, ""guitar"": 146, ""piano"": 28, ""strings"": 0}"
reference,test_00005,120,35.541667,17.770833,3.376319,13,7,2,0.519703,2.395076,6,17.025000,2.553495,100.000000,93.489583,,,,,,1:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 106, ""strings"": 14}"
reference,test_00006,28,32.000000,16.000000,0.875000,16,4,2,0.591673,6.026042,7,165.285714,1.906819,85.714286,97.767857,,,,,,2:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 4, ""strings"": 24}"
reference,test_00007,22,31.750000,15.875000,0.692913,9,6,2,0.684038,0.951444,6,32.954545,2.424391,100.000000,97.619048,,,,,,2:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 4, ""piano"": 18, ""strings"": 0}"
reference,test_00008,148,32.000000,16.000000,4.625000,18,7,4,1.721513,5.126302,10,26.601351,2.703420,100.000000,95.833333,,,,,,2:major,"{""bass"": 24, ""brass"": 0, ""guitar"": 50, ""piano"": 65, ""strings"": 9}"
reference,test_00009,108,31.875000,15.937500,3.388235,6,5,1,-0.000000,2.952941,4,20.916667,1.994647,88.888889,92.261905,,,,,,0:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 108, ""piano"": 0, ""strings"": 0}"
reference,test_00010,105,32.000000,16.000000,3.281250,3,1,2,0.315997,2.250000,3,16.457143,-0.000000,100.000000,98.511905,,,,,,0:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 99, ""piano"": 0, ""strings"": 6}"
reference,test_00011,164,35.958333,17.979167,4.560834,34,8,3,1.459549,4.236385,9,22.292683,2.682465,95.121951,91.666667,,,,,,2:major,"{""bass"": 38, ""brass"": 88, ""guitar"": 38, ""piano"": 0, ""strings"": 0}"
reference,test_00012,90,33.708333,16.854167,2.669963,22,7,4,1.664972,7.022250,16,63.122222,2.599715,98.888889,95.833333,,,,,,0:minor,"{""bass"": 10, ""brass"": 0, ""guitar"": 15, ""piano"": 51, ""strings"": 14}"
reference,test_00013,180,32.000000,16.000000,5.625000,22,9,4,1.921352,8.240885,15,35.161111,2.566457,91.111111,95.982143,,,,,,0:major,"{""bass"": 52, ""brass"": 0, ""guitar"": 63, ""piano"": 41, ""strings"": 24}"
reference,test_00014,151,32.166667,16.083333,4.694301,26,7,3,1.267448,7.306995,15,37.357616,2.570553,100.000000,92.187500,,,,,,4:minor,"{""bass"": 10, ""brass"": 0, ""guitar"": 59, ""piano"": 82, ""strings"": 0}"
reference,test_00015,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0.000000,,,,,,,,,,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 0}"
reference,test_00016,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0.000000,,,,,,,,,,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 0}"
reference,test_00017,32,39.750000,19.875000,0.805031,18,6,1,-0.000000,3.076520,6,91.718750,2.385891,100.000000,95.138889,,,,,,6:minor,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 0, ""strings"": 32}"
