onset,pitch,duration,instrument
0,30,12,2
0,54,6,0
0,58,7,1
0,58,8,3
0,61,7,0
0,61,8,1
0,66,6,3
0,66,7,4
0,66,16,2
0,70,7,0
6,73,8,4
12,30,4,2
12,30,4,4
12,30,7,0
12,42,4,0
12,42,5,4
12,42,6,2
12,54,8,0
12,58,8,1
12,61,7,0
12,61,8,1
12,66,6,3
12,66,6,4
12,66,7,0
12,66,7,4
12,70,6,0
12,70,6,2
18,73,6,4
24,42,6,2
24,58,8,0
24,61,6,3
24,61,8,1
24,66,7,4
24,66,8,0
24,66,8,4
24,70,8,0
24,70,8,4
36,37,8,2
36,49,8,0
36,56,7,1
36,61,8,4
36,66,6,0
36,66,7,0
36,66,8,4
36,68,7,4
36,70,6,0
48,42,9,2
48,54,9,0
48,58,8,1
48,61,7,3
48,61,8,0
48,61,8,2
48,66,7,0
48,66,7,4
48,66,8,0
48,66,8,4
48,70,7,0
48,70,7,4
60,73,8,4
60,78,5,4
60,78,6,4
60,78,8,2
66,73,11,4
84,80,6,4
96,37,8,2
96,49,8,0
96,56,8,1
96,61,8,0
96,61,8,2
96,61,8,3
96,65,6,4
96,65,7,4
96,65,8,0
96,65,8,2
96,68,7,0
96,68,8,4
96,73,10,4
96,80,10,4
108,37,8,4
132,37,6,0
132,37,8,2
132,56,8,0
132,56,8,1
132,61,6,4
132,61,8,3
132,65,6,0
132,65,6,4
132,65,7,2
132,68,7,2
144,37,8,2
144,37,11,4
144,49,8,0
144,56,7,1
144,56,8,0
144,61,6,0
144,61,7,2
144,61,8,0
144,61,8,2
144,65,6,0
144,65,6,2
144,65,7,4
144,68,8,0
144,68,11,4
144,73,4,4
144,80,4,4
156,68,7,4
162,80,6,4
168,37,4,2
168,37,4,4
168,37,6,4
168,37,8,4
168,49,8,0
168,56,6,1
168,61,7,2
168,61,8,0
168,65,6,4
168,65,8,0
168,65,8,4
168,68,8,4
168,68,10,0
168,73,10,0
180,80,6,4
204,37,4,4
204,37,6,4
204,37,8,4
228,37,6,4
228,37,8,4
228,49,6,4
240,42,6,4
240,66,6,4
252,68,6,4
252,70,7,4
264,73,6,4
264,73,13,0
264,77,13,0
264,80,6,4
276,37,10,0
276,49,16,2
276,73,6,0
276,73,6,4
276,77,6,0
276,80,6,4
288,75,6,0
288,75,6,4
288,78,6,0
288,82,7,4
300,37,6,0
300,49,14,2
300,73,6,4
300,77,6,4
300,77,14,0
300,80,6,0
300,80,6,4
312,73,7,4
312,78,11,0
324,77,7,4
348,77,15,4
366,77,6,4
366,77,14,0
372,77,5,4
378,80,13,2
384,75,14,0
396,78,6,4
426,78,6,4
444,70,6,0
444,70,7,0
450,82,6,0
456,77,6,4
462,70,13,0
468,78,6,4
468,82,12,0
498,78,6,0
504,82,8,4
516,77,7,0
516,80,8,0
522,80,6,0
528,80,7,4
540,68,12,0
540,82,5,4
546,82,6,0
552,77,5,4
558,77,14,4
558,80,12,0
570,82,6,0
582,78,7,4
588,78,6,0
594,78,6,0
594,78,11,4
600,82,8,4
612,78,10,0
618,80,6,4
624,68,6,4
624,80,6,4
624,82,6,4
636,68,8,0
636,70,7,0
636,80,6,4
636,80,7,0
642,70,6,0
642,80,6,0
642,82,7,0
660,70,6,0
660,70,6,4
660,78,7,0
660,78,7,4
666,78,13,4
666,82,7,4
672,77,5,4
678,70,6,0
678,82,7,0
684,68,7,4
690,77,4,0
714,77,6,4
720,68,7,0
720,70,7,0
720,85,7,4
732,77,12,4
756,73,4,0
756,77,6,0
762,85,12,0
