type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,2
1,0,0,0,0,3
1,0,0,0,0,4
2,0,0,0,0,0
3,0,0,30,12,2
3,0,0,58,8,3
3,0,0,61,8,1
3,0,0,66,6,3
3,0,0,66,16,2
3,0,0,54,6,0
3,0,0,58,7,1
3,0,0,61,7,0
3,0,0,66,7,4
3,0,0,70,7,0
3,0,6,73,8,4
3,0,12,30,4,2
3,0,12,54,8,0
3,0,12,58,8,1
3,0,12,61,7,0
3,0,12,61,8,1
3,0,12,66,6,3
3,0,12,66,6,4
3,0,12,30,7,0
3,0,12,42,6,2
3,0,12,66,7,0
3,0,12,66,7,4
3,0,12,70,6,0
3,0,12,30,4,4
3,0,12,42,4,0
3,0,12,42,5,4
3,0,12,70,6,2
3,0,18,73,6,4
3,1,0,42,6,2
3,1,0,58,8,0
3,1,0,61,8,1
3,1,0,61,6,3
3,1,0,66,7,4
3,1,0,66,8,0
3,1,0,66,8,4
3,1,0,70,8,0
3,1,0,70,8,4
3,1,12,37,8,2
3,1,12,49,8,0
3,1,12,56,7,1
3,1,12,61,8,4
3,1,12,66,8,4
3,1,12,66,6,0
3,1,12,66,7,0
3,1,12,68,7,4
3,1,12,70,6,0
3,2,18,73,11,4
3,2,0,42,9,2
3,2,0,54,9,0
3,2,0,58,8,1
3,2,0,61,8,2
3,2,0,61,8,0
3,2,0,61,7,3
3,2,0,66,7,4
3,2,0,66,7,0
3,2,0,66,8,4
3,2,0,66,8,0
3,2,0,70,7,4
3,2,0,70,7,0
3,2,12,73,8,4
3,2,12,78,8,2
3,2,12,78,5,4
3,2,12,78,6,4
3,3,12,80,6,4
3,4,12,37,8,4
3,4,0,37,8,2
3,4,0,49,8,0
3,4,0,56,8,1
3,4,0,61,8,0
3,4,0,61,8,2
3,4,0,61,8,3
3,4,0,65,6,4
3,4,0,65,8,2
3,4,0,65,7,4
3,4,0,65,8,0
3,4,0,68,8,4
3,4,0,68,7,0
3,4,0,73,10,4
3,4,0,80,10,4
3,5,12,37,6,0
3,5,12,37,8,2
3,5,12,56,8,0
3,5,12,56,8,1
3,5,12,61,8,3
3,5,12,61,6,4
3,5,12,65,6,0
3,5,12,65,6,4
3,5,12,65,7,2
3,5,12,68,7,2
3,6,12,68,7,4
3,6,0,68,11,4
3,6,0,37,11,4
3,6,0,37,8,2
3,6,0,49,8,0
3,6,0,56,7,1
3,6,0,56,8,0
3,6,0,61,8,0
3,6,0,61,8,2
3,6,0,61,6,0
3,6,0,61,7,2
3,6,0,65,6,0
3,6,0,65,6,2
3,6,0,65,7,4
3,6,0,68,8,0
3,6,0,73,4,4
3,6,0,80,4,4
3,6,18,80,6,4
3,7,0,37,6,4
3,7,0,37,4,4
3,7,0,37,8,4
3,7,0,37,4,2
3,7,0,49,8,0
3,7,0,56,6,1
3,7,0,61,8,0
3,7,0,61,7,2
3,7,0,65,8,4
3,7,0,65,6,4
3,7,0,65,8,0
3,7,0,68,8,4
3,7,0,68,10,0
3,7,0,73,10,0
3,7,12,80,6,4
3,8,12,37,6,4
3,8,12,37,4,4
3,8,12,37,8,4
3,9,12,37,8,4
3,9,12,37,6,4
3,9,12,49,6,4
3,10,12,68,6,4
3,10,0,42,6,4
3,10,0,66,6,4
3,10,12,70,7,4
3,11,0,73,13,0
3,11,0,73,6,4
3,11,0,77,13,0
3,11,0,80,6,4
3,11,12,37,10,0
3,11,12,49,16,2
3,11,12,73,6,0
3,11,12,73,6,4
3,11,12,77,6,0
3,11,12,80,6,4
3,12,0,75,6,0
3,12,0,75,6,4
3,12,0,78,6,0
3,12,0,82,7,4
3,12,12,37,6,0
3,12,12,49,14,2
3,12,12,73,6,4
3,12,12,77,14,0
3,12,12,77,6,4
3,12,12,80,6,0
3,12,12,80,6,4
3,13,0,78,11,0
3,13,0,73,7,4
3,13,12,77,7,4
3,14,12,77,15,4
3,15,6,77,14,0
3,15,6,77,6,4
3,15,12,77,5,4
3,15,18,80,13,2
3,16,0,75,14,0
3,16,12,78,6,4
3,17,18,78,6,4
3,18,12,70,7,0
3,18,12,70,6,0
3,18,18,82,6,0
3,19,0,77,6,4
3,19,6,70,13,0
3,19,12,82,12,0
3,19,12,78,6,4
3,20,18,78,6,0
3,21,0,82,8,4
3,21,12,80,8,0
3,21,18,80,6,0
3,21,12,77,7,0
3,22,0,80,7,4
3,22,12,68,12,0
3,22,12,82,5,4
3,22,18,82,6,0
3,23,0,77,5,4
3,23,6,77,14,4
3,23,6,80,12,0
3,23,18,82,6,0
3,24,6,78,7,4
3,24,12,78,6,0
3,24,18,78,11,4
3,24,18,78,6,0
3,25,0,82,8,4
3,25,12,78,10,0
3,25,18,80,6,4
3,26,12,80,6,4
3,26,0,80,6,4
3,26,0,68,6,4
3,26,12,68,8,0
3,26,12,80,7,0
3,26,18,80,6,0
3,26,0,82,6,4
3,26,12,70,7,0
3,26,18,70,6,0
3,26,18,82,7,0
3,27,18,78,13,4
3,27,12,78,7,4
3,27,12,70,6,4
3,27,12,70,6,0
3,27,12,78,7,0
3,27,18,82,7,4
3,28,6,70,6,0
3,28,6,82,7,0
3,28,12,68,7,4
3,28,18,77,4,0
3,28,0,77,5,4
3,29,18,77,6,4
3,30,0,68,7,0
3,30,0,70,7,0
3,30,0,85,7,4
3,30,12,77,12,4
3,31,12,73,4,0
3,31,12,77,6,0
3,31,18,85,12,0
4,0,0,0,0,0
