pitch,count,probability
35,16,0.00010200
36,6,0.00003825
37,16,0.00010200
38,2,0.00001275
43,14,0.00008925
45,2,0.00001275
47,2,0.00001275
48,16,0.00010200
50,15,0.00009563
52,75,0.00047813
53,29,0.00018488
54,1,0.00000638
55,178,0.00113476
56,13,0.00008288
57,457,0.00291341
58,103,0.00065663
59,435,0.00277316
60,729,0.00464743
61,326,0.00207827
62,5010,0.03193911
63,327,0.00208465
64,5976,0.03809742
65,2223,0.01417178
66,6087,0.03880506
67,12003,0.07651998
68,771,0.00491518
69,19315,0.12313449
70,2128,0.01356615
71,17249,0.10996360
72,9395,0.05989379
73,6921,0.04412187
74,19834,0.12644316
75,696,0.00443705
76,15518,0.09892835
77,2628,0.01675369
78,9714,0.06192744
79,9400,0.05992567
80,922,0.00587782
81,6442,0.04106821
82,291,0.00185515
83,1309,0.00834497
84,146,0.00093076
85,65,0.00041438
86,42,0.00026775
88,13,0.00008288
92,1,0.00000638
