file_name,note_bigram_perplexity,note_trigram_perplexity,beat_bigram_perplexity,beat_position_perplexity,beat_trigram_perplexity
QmNM5v9TuXw9FwnkhDqacVUsVJNgUG9rdSrNTanHuV5m88_0.mid,12.201665,7.247394,2.251431,2.161458,2.226067
QmNN3Qx7rheqdJtRTUKshANpcPb4mB86M6Vsih4QS62cmT.mid,6.126137,5.390089,1.350482,1.267240,1.244727
QmNNpkUbj231fbrN6nN2p8aUT8udZbPCe957wgpoX9EUHj.mid,10.685014,7.573283,1.827119,1.504033,1.601214
QmNPKuiYkAgVN9KksCbGHMTzNyc4bbBppXsDBpZoRJNUT9.mid,27.593356,10.652792,2.799680,3.724539,2.511859
QmNS6kg8jo1JednLi1QZzZ4Gjhpv2QNgBWf8vJJkTjJSNJ_0.mid,7.088455,4.776987,1.688753,6.316564,1.872060
QmNUezKWyy1K7uMeMPSpiokmwq32qk2QW5uxJHica68vrZ.mid,8.625456,6.475334,1.349199,1.335095,1.348523
QmNUvvKhrjBokfsEHkQdsoG2Z1m5vVdMpvfKdkhFA4LR5r_0.mid,19.846206,9.236063,2.234389,2.204898,2.207277
QmNVT2m1CgRjpx47EY76HYynVAktE45qvgUAkm7YKeRNnP.mid,6.903671,5.587887,1.862387,1.705519,1.576517
QmNWMVWXXZuxjTduCXYP8NEXiXYfTqxKk7e3dJjMofzJvg.mid,6.337474,5.168028,1.700435,1.450569,1.448791
QmNX98vFa1mmuBvyLzcfnysG4zQBS3rvFFezT3qL26n1qj.mid,7.824432,5.863018,2.178340,2.083896,1.763895
QmNXyNXedUC5MwaL1XSYsiUs9WeeRTnStVE9rz5YjuRgKM.mid,13.006808,6.904958,1.587163,1.629137,1.543272
QmNY8FMYxM8nCoGsS6c8d9MhSK5BkNyVBoqgL6cFTE9DKC.mid,11.108127,10.613496,2.097401,1.994027,1.862064
QmNYCHgHrXia8UUykx5WMdkt4h4VczuapEY8mmynaXqyrq.mid,7.506056,5.613897,2.098885,1.786680,1.915856
QmNYFenjZrD99wpZQ63NA5h2HbBD9GnZiyk4ZCyBx9vRdW.mid,9.891514,7.447255,1.467827,1.349542,1.349524
QmNYdrTK2buMqeHyKGoDtQdjNDquNyJtSNJhnmEQaEmBCX.mid,7.463494,5.341842,1.623492,1.344829,1.377283
QmNaKrHfLwvjj7fXYTHJN8dk7mkaoK7fm5Ny1hzmVT9rDq.mid,6.391691,5.647382,1.493298,1.443484,1.390975
QmNaef4gViEuaCJ7r7RyEzqmtcdRp7eQvXtDaoPa33zwXT_0.mid,7.652423,6.533301,2.374665,1.835629,1.894670
QmNb1axKUNuEJLHm8kPwbFsXMKrGYgRcfknfCiSWky6Edj.mid,7.676114,6.985534,1.603915,1.355384,1.384113
QmNcXq9WCUQZUFsnxU7d9bXpLLP4Bvi3C915krTA4wJMJP_0.mid,9.245439,7.375939,2.124809,2.255151,1.821258
QmNd36Er622B5KX5Dqk5YDG9SF9QQsrxFzyyrRmJMkC1T1.mid,6.846430,5.724752,1.282758,1.255518,1.223269
QmNdTYxDri5QhWJmyF725x8jN6iuir6VV9R8frCjZqnJe4.mid,10.752888,5.364898,1.199995,1.263698,1.171182
QmNdy5dTKxytQBCNij3rEvvG9M6H7EmwqpF31cVxEeUM9a.mid,11.908205,8.261776,1.952790,1.545961,1.631679
QmNeCnUZDHskuAtdYjTqneCjXQrEKK4HPV7SMguJ16i8Sf.mid,6.442746,5.522690,1.598047,1.388284,1.370041
QmNgswLVLh8yE2NvVPZEzFMyX5SAX5faVTwrW1oNboUdrm.mid,14.160986,9.338301,2.028480,1.941787,1.808017
